THETA2,MCF_x,MCF_y,IFP_x,IFP_y,IFD_x,IFD_y,PF_x,PF_y,D3_x,D3_y,Pa_x,Pa_y,P3_x,P3_y,THETAfp,THETAfm,THETAfd
59.000,-9.0000,-20.0000,-54.8253,-37.3506,-73.6363,-55.2990,-74.1193,-79.2942,-84.3659,-21.9842,-66.7560,-39.7293,-100.4167,-31.1586,200.738,223.656,268.847
60.000,-9.0000,-20.0000,-54.7114,-37.6485,-73.3199,-55.8068,-73.4618,-79.8063,-84.5220,-22.6479,-66.6264,-40.1048,-100.3694,-31.9682,201.111,224.298,269.661
61.000,-9.0000,-20.0000,-54.5953,-37.9463,-72.9968,-56.3144,-72.7938,-80.3135,-84.6741,-23.3198,-66.4940,-40.4803,-100.3148,-32.7840,201.485,224.948,270.485
62.000,-9.0000,-20.0000,-54.4769,-38.2441,-72.6668,-56.8218,-72.1153,-80.8155,-84.8220,-24.0003,-66.3588,-40.8559,-100.2526,-33.6060,201.859,225.604,271.317
63.000,-9.0000,-20.0000,-54.3564,-38.5418,-72.3298,-57.3289,-71.4263,-81.3119,-84.9655,-24.6894,-66.2209,-41.2314,-100.1827,-34.4342,202.235,226.268,272.158
64.000,-9.0000,-20.0000,-54.2336,-38.8394,-71.9859,-57.8356,-70.7267,-81.8026,-85.1043,-25.3871,-66.0801,-41.6069,-100.1048,-35.2685,202.611,226.939,273.008
65.000,-9.0000,-20.0000,-54.1085,-39.1369,-71.6348,-58.3419,-70.0164,-82.2872,-85.2382,-26.0937,-65.9366,-41.9823,-100.0188,-36.1091,202.989,227.617,273.866
66.000,-9.0000,-20.0000,-53.9812,-39.4342,-71.2764,-58.8475,-69.2955,-82.7656,-85.3669,-26.8091,-65.7903,-42.3576,-99.9244,-36.9559,203.367,228.302,274.735
67.000,-9.0000,-20.0000,-53.8517,-39.7314,-70.9108,-59.3525,-68.5639,-83.2374,-85.4901,-27.5335,-65.6411,-42.7329,-99.8215,-37.8090,203.746,228.995,275.612
68.000,-9.0000,-20.0000,-53.7199,-40.0283,-70.5377,-59.8566,-67.8215,-83.7024,-85.6075,-28.2670,-65.4892,-43.1079,-99.7098,-38.6684,204.126,229.696,276.498
69.000,-9.0000,-20.0000,-53.5858,-40.3250,-70.1571,-60.3598,-67.0684,-84.1602,-85.7189,-29.0097,-65.3344,-43.4828,-99.5890,-39.5341,204.507,230.405,277.394
70.000,-9.0000,-20.0000,-53.4494,-40.6215,-69.7688,-60.8620,-66.3046,-84.6107,-85.8240,-29.7617,-65.1767,-43.8574,-99.4589,-40.4061,204.888,231.122,278.299
71.000,-9.0000,-20.0000,-53.3108,-40.9177,-69.3728,-61.3631,-65.5299,-85.0534,-85.9224,-30.5230,-65.0162,-44.2318,-99.3194,-41.2844,205.270,231.847,279.214
72.000,-9.0000,-20.0000,-53.1699,-41.2136,-68.9690,-61.8628,-64.7444,-85.4881,-86.0139,-31.2937,-64.8529,-44.6059,-99.1700,-42.1690,205.654,232.580,280.138
73.000,-9.0000,-20.0000,-53.0268,-41.5092,-68.5571,-62.3612,-63.9481,-85.9145,-86.0980,-32.0739,-64.6867,-44.9797,-99.0106,-43.0600,206.038,233.322,281.072
74.000,-9.0000,-20.0000,-52.8813,-41.8044,-68.1372,-62.8581,-63.1410,-86.3322,-86.1745,-32.8637,-64.5177,-45.3532,-98.8409,-43.9574,206.423,234.072,282.016
